id,n_tokens_title,n_tokens_content,n_unique_tokens,n_non_stop_words,n_non_stop_unique_tokens,average_token_length,global_subjectivity,global_sentiment_polarity,global_rate_positive_words,global_rate_negative_words,rate_positive_words,rate_negative_words,avg_positive_polarity,min_positive_polarity,max_positive_polarity,avg_negative_polarity,min_negative_polarity,max_negative_polarity,title_subjectivity,title_sentiment_polarity
14,2.708050201,8.703174709,0.276154102,0.505812023,0.25523082,10.21533771,0.503667986,0.072775777,0.040684158,0.024576553,0.623409669,0.376590331,0.361028669,0.033333333,1,-0.296067943,-0.05,-1,0.066666667,0.033333333
15,2.708050201,7.029087564,0.405668733,0.52081488,0.333923826,8.518392472,0.42791416,0.157005223,0.0425155,0.011514615,0.786885246,0.213114754,0.380353761,0.05,1,-0.271153846,-0.1,-0.666666667,0.318181818,0.166287879
16,2.397895273,7.139660336,0.408406027,0.571768438,0.344171293,8.699014623,0.446074358,0.046585297,0.029341792,0.01665345,0.637931034,0.362068966,0.333480753,0.1,1,-0.33505291,-0.05,-0.9,0.581144781,-0.048063973
17,2.772588722,6.102558595,0.554809843,0.561521253,0.418344519,7.681099002,0.379761905,0.014473684,0.011185682,0.015659955,0.416666667,0.583333333,0.35,0.214285714,0.5,-0.317857143,-0.1,-0.7,0,0
18,1.791759469,7.26961675,0.386490251,0.653203343,0.335654596,8.709960006,0.430052014,0.08370829,0.027855153,0.017409471,0.615384615,0.384615385,0.360700758,0.0625,0.7,-0.222555556,-0.05,-0.7,0,0
19,2.397895273,5.783825182,0.532307692,0.492307692,0.344615385,7.235619141,0.415291807,0.085297419,0.033846154,0.015384615,0.6875,0.3125,0.385123967,0.1,0.8,-0.386666667,-0.166666667,-0.6,0.1,0
21,2.397895273,5.666426688,0.581314879,0.626297578,0.477508651,7.222566019,0.396474954,0.090903937,0.038062284,0.01384083,0.733333333,0.266666667,0.254604486,0.1,0.4,-0.147916667,-0.125,-0.155555556,0,0
22,2.079441542,5.351858133,0.559241706,0.426540284,0.327014218,6.708084084,0.57628868,0.008766234,0.037914692,0.037914692,0.5,0.5,0.407224026,0.136363636,0.8,-0.4,-0.1,-0.8,0.2,-0.1
24,2.833213344,6.711740395,0.431873479,0.558394161,0.349148418,8.255048903,0.462368991,0.037658066,0.018248175,0.01703163,0.517241379,0.482758621,0.374924242,0.0625,0.8,-0.296853741,-0.05,-0.714285714,0.227272727,0.068181818
25,2.48490665,6.650279049,0.447606727,0.551099612,0.364812419,8.240121298,0.404336332,0.075076941,0.03622251,0.014230272,0.717948718,0.282051282,0.329044913,0.033333333,0.9,-0.259848485,-0.1,-0.7,0,0
26,2.708050201,6.234410726,0.490196078,0.521568627,0.396078431,7.782807263,0.419540404,0.166545455,0.029411765,0.01372549,0.681818182,0.318181818,0.456424242,0.05,0.8,-0.264285714,-0.1,-0.5,0.1,0
27,2.564949357,6.159095388,0.549682875,0.524312896,0.403805497,7.646353722,0.548494098,0.169304769,0.046511628,0.014799154,0.75862069,0.24137931,0.374247344,0.1,0.8,-0.175793651,-0.1,-0.4,0.4,-0.1
28,2.772588722,6.632001777,0.417654809,0.56916996,0.339920949,8.144969417,0.501262626,0.122323232,0.021080369,0.007905138,0.727272727,0.272727273,0.358522727,0.05,0.7,-0.344444444,-0.166666667,-0.5,0.454545455,0.136363636
29,2.397895273,8.795127912,0.294759164,0.53241442,0.276128446,10.33902913,0.378282908,0.080071992,0.03241442,0.021508634,0.601123596,0.398876404,0.335243456,0.05,1,-0.209332383,-0.05,-0.8,0.454545455,0.136363636
30,2.48490665,6.335054251,0.427304965,0.469858156,0.310283688,7.821242084,0.47999781,0.051358696,0.040780142,0.024822695,0.621621622,0.378378378,0.394565217,0.2,0.7,-0.408035714,-0.05,-0.6,1,-0.5
32,2.564949357,7.148345744,0.40408805,0.538522013,0.341194969,8.717027173,0.371178212,0.067913056,0.032232704,0.018867925,0.630769231,0.369230769,0.314707792,0.05,0.8,-0.234967694,-0.071428571,-0.75,0.454545455,0.136363636
33,2.833213344,7.398174093,0.42743417,0.57379057,0.369871402,8.939843124,0.428205297,0.110620905,0.034292713,0.017758726,0.658823529,0.341176471,0.372295145,0.05,1,-0.227681992,-0.1,-0.6,0.384848485,-0.087878788
34,2.772588722,7.022868086,0.427807487,0.570409982,0.352049911,8.581294117,0.386376623,0.098309524,0.019607843,0.009803922,0.666666667,0.333333333,0.355243506,0.0625,0.8,-0.218939394,-0.1,-0.4,0.454545455,0.136363636
35,2.63905733,7.482118924,0.409346847,0.533220721,0.355855856,9.042394981,0.370196429,0.011304035,0.024211712,0.023085586,0.511904762,0.488095238,0.301144921,0.033333333,0.8,-0.272357724,-0.05,-1,0.454545455,0.136363636
36,2.63905733,8.218247927,0.310409924,0.530744337,0.278586839,9.709235105,0.475381332,0.095455038,0.040992449,0.02184466,0.652360515,0.347639485,0.396998889,0.033333333,1,-0.30364906,-0.05,-1,0,0
37,2.197224577,8.127995056,0.349468713,0.566115702,0.315525384,9.608377964,0.467052771,0.015570399,0.036304604,0.022727273,0.615,0.385,0.3361947,0.033333333,1,-0.391684704,-0.05,-1,0.5,0
38,2.397895273,6.12905021,0.474945534,0.553376906,0.348583878,7.630946581,0.357777778,0.014444444,0.015250545,0.008714597,0.636363636,0.363636364,0.322857143,0.1,0.5,-0.5625,-0.25,-1,0,0
39,2.833213344,6.839476438,0.417558887,0.53640257,0.331905782,8.403352375,0.411106123,0.154345694,0.051391863,0.014989293,0.774193548,0.225806452,0.356125541,0.1,0.75,-0.19077381,-0.1,-0.5,0.54040404,-0.021212121
40,2.397895273,6.29710932,0.504604052,0.554327808,0.384898711,7.784473236,0.472520276,0.174741408,0.060773481,0.018416206,0.76744186,0.23255814,0.37137741,0.1,1,-0.19047619,-0.05,-0.5,0.75,0.4
41,2.48490665,6.674561392,0.453282828,0.545454545,0.361111111,8.153061947,0.466746375,0.187217592,0.065656566,0.031565657,0.675324675,0.324675325,0.443049451,0.1,1,-0.207476801,-0.05,-1,0.3,1
42,2.63905733,6.383506635,0.467905405,0.543918919,0.364864865,7.905072849,0.365495495,0.048130631,0.027027027,0.013513514,0.666666667,0.333333333,0.280052083,0.033333333,0.5,-0.246875,-0.05,-0.7,0.414772727,0.005681818
44,2.564949357,6.00635316,0.54679803,0.60591133,0.435960591,7.673688129,0.355975338,0.021504001,0.034482759,0.012315271,0.736842105,0.263157895,0.125092764,0.05,0.4,-0.208333333,-0.1,-0.333333333,0.7,0.366666667
45,2.708050201,6.893656355,0.415821501,0.568965517,0.350912779,8.46231453,0.354901876,0.062468975,0.022312373,0.012170385,0.647058824,0.352941176,0.325273022,0.0625,0.7,-0.230902778,-0.1,-0.4,0.227272727,0.068181818
46,2.63905733,6.357842267,0.473136915,0.549393414,0.370883882,7.89469085,0.429134199,0.047637085,0.027729636,0.013864818,0.666666667,0.333333333,0.270568182,0.05,0.7,-0.201041667,-0.008333333,-0.4,0,0
48,2.63905733,5.988961417,0.526315789,0.601503759,0.413533835,7.543273347,0.358850932,0.054244306,0.015037594,0.012531328,0.545454545,0.454545455,0.304464286,0.0625,0.6,-0.115833333,-0.05,-0.1875,0.454545455,0.136363636
49,2.890371758,5.902633333,0.540983607,0.595628415,0.420765027,7.501634458,0.325495338,0.028321678,0.019125683,0.013661202,0.583333333,0.416666667,0.262337662,0.1,0.5,-0.245,-0.125,-0.3,0.066666667,0
50,1.609437912,6.902742737,0.43718593,0.546733668,0.355778894,8.472195825,0.454310891,0.207058418,0.047236181,0.011055276,0.810344828,0.189655172,0.45728332,0.05,1,-0.204545455,-0.05,-0.3,0.166666667,0
52,2.708050201,5.786897381,0.613496933,0.607361963,0.469325153,7.401231264,0.46356241,0.103643128,0.030674847,0.024539877,0.555555556,0.444444444,0.384636364,0.05,1,-0.169866071,-0.071428571,-0.291666667,0.333333333,0.166666667
55,2.302585093,6.837332815,0.402360515,0.501072961,0.324034335,8.339500903,0.473220974,0.195079406,0.052575107,0.016094421,0.765625,0.234375,0.416657832,0.1,1,-0.270277778,-0.1,-0.8,0.45,0.25
56,2.833213344,5.398162702,0.63800905,0.597285068,0.470588235,7.082548569,0.456410256,0.246634615,0.036199095,0.004524887,0.888888889,0.111111111,0.365625,0.1,0.5,-0.125,-0.125,-0.125,0.433333333,-0.166666667
57,2.079441542,7.327780538,0.385676741,0.544021025,0.328515112,8.875985891,0.479800406,0.147078401,0.045992116,0.009198423,0.833333333,0.166666667,0.336057514,0.033333333,1,-0.333333333,-0.05,-0.8,0.65,0.35
58,2.833213344,7.404279118,0.314059647,0.527693244,0.258064516,8.901638932,0.468951807,0.201857995,0.057212416,0.014607425,0.796610169,0.203389831,0.41641395,0.0625,1,-0.263053902,-0.05,-0.6,0.15,0.15
59,2.48490665,7.532088144,0.411890734,0.530798072,0.357257633,9.031452912,0.46743703,0.131744372,0.042313873,0.020353508,0.675213675,0.324786325,0.36770782,0.05,1,-0.244590643,-0.05,-0.75,0.454545455,0.136363636
60,2.63905733,7.109879463,0.418300654,0.552287582,0.352124183,8.663196486,0.406201983,0.086285266,0.040849673,0.015522876,0.724637681,0.275362319,0.312848485,0.05,0.7,-0.275438596,-0.1,-0.7,0.488636364,0.049715909
61,2.564949357,4.234106505,0.565217391,0.449275362,0.289855072,5.669880923,0.9,0.2,0.014492754,0.014492754,0.5,0.5,0.4,0.4,0.4,-0.4,-0.4,-0.4,0,0
62,2.833213344,7.140453043,0.42155309,0.572900158,0.365293185,8.687273462,0.415671301,0.047444516,0.023771791,0.013470681,0.638297872,0.361702128,0.30520202,0.1,0.75,-0.334558824,-0.05,-0.7,0.454545455,0.136363636
63,2.302585093,5.883322388,0.571030641,0.846796657,0.490250696,7.469654173,0.541450216,0.11969697,0.030640669,0.005571031,0.846153846,0.153846154,0.228099174,0.1,0.5,-0.266666667,-0.2,-0.333333333,0.75,0.068181818
64,2.833213344,6.576469569,0.511142061,0.526462396,0.419220056,8.065265209,0.525947721,0.124198834,0.055710306,0.025069638,0.689655172,0.310344828,0.407665043,0.033333333,1,-0.349305556,-0.1,-0.9,0.527272727,0.034848485
65,2.708050201,6.398594935,0.437603993,0.585690516,0.34109817,7.953318347,0.411111111,0.069166667,0.019966722,0.011647255,0.631578947,0.368421053,0.366666667,0.05,0.8,-0.332142857,-0.1,-0.875,0.5,0.05
66,2.63905733,7.401841579,0.369737645,0.55704698,0.312385601,8.937875265,0.514554473,0.138739177,0.027455766,0.011592434,0.703125,0.296875,0.344367244,0.0625,1,-0.419005848,-0.1,-0.75,1,0.25
67,2.564949357,5.840641657,0.534883721,0.537790698,0.377906977,7.365812837,0.704311916,0.126355381,0.034883721,0.011627907,0.75,0.25,0.32892316,0.1,0.6,-0.5625,-0.05,-1,0,0
68,2.48490665,5.686975356,0.569491525,0.586440678,0.437288136,7.261225092,0.332727273,0.034318182,0.020338983,0.027118644,0.428571429,0.571428571,0.356060606,0.136363636,0.5,-0.18125,-0.05,-0.333333333,0.454545455,0.136363636
69,2.708050201,5.298317367,0.595,0.54,0.385,6.829793738,0.470454545,0.212878788,0.03,0.005,0.857142857,0.142857143,0.440277778,0.1,1,-0.3,-0.3,-0.3,0.1,0
70,2.079441542,7.244941546,0.354032834,0.517487509,0.295503212,8.709300049,0.398832298,0.110383023,0.03640257,0.028551035,0.56043956,0.43956044,0.436321195,0.05,1,-0.202708333,-0.066666667,-0.65,0,-0.1
71,1.945910149,8.396831835,0.442815249,0.684637943,0.418001353,10.01833294,0.428938982,0.050923855,0.037672005,0.022558087,0.625468165,0.374531835,0.360074008,0.033333333,1,-0.38515812,-0.05,-1,0,0
72,2.564949357,5.866468057,0.586402266,0.560906516,0.439093484,7.402451521,0.395448948,0.11061539,0.04815864,0.016997167,0.739130435,0.260869565,0.271785078,0.033333333,0.6,-0.235416667,-0.2,-0.3125,0.571022727,-0.088068182
73,2.708050201,7.332369206,0.416612165,0.557880968,0.355788097,8.836083191,0.390280468,0.108122957,0.035317201,0.009810334,0.782608696,0.217391304,0.268125701,0.1,0.8,-0.238849206,-0.05,-1,0.454545455,0.136363636
74,2.63905733,7.177782416,0.412977099,0.570992366,0.351908397,8.76311533,0.323025335,0.051645554,0.026717557,0.017557252,0.603448276,0.396551724,0.352402597,0.05,0.7,-0.262318841,-0.1,-0.8,0.277272727,0.068181818
75,2.708050201,6.703188113,0.455214724,0.590184049,0.375460123,8.276903481,0.434370883,0.221645806,0.044171779,0.008588957,0.837209302,0.162790698,0.476325758,0.0625,0.8,-0.255952381,-0.1,-0.5,0.454545455,0.136363636
77,2.302585093,5.509388337,0.591093117,0.570850202,0.437246964,7.167809184,0.301670844,0.078654971,0.024291498,0.008097166,0.75,0.25,0.291666667,0.1,0.6,-0.127777778,-0.1,-0.155555556,0,0
78,2.708050201,7.090076836,0.4,0.555,0.336666667,8.666302614,0.353079496,0.02362136,0.023333333,0.024166667,0.49122807,0.50877193,0.31441713,0.1,0.6,-0.240517241,-0.05,-0.875,0.454545455,0.136363636
79,2.48490665,5.442417711,0.545454545,0.484848485,0.354978355,6.938284484,0.34765625,0.09921875,0.017316017,0.008658009,0.666666667,0.333333333,0.5,0.2,0.8,-0.20625,-0.1,-0.3125,0.125,0
80,2.772588722,6.72982407,0.602150538,0.605734767,0.518518519,8.278428259,0.377777247,0.0837726,0.032258065,0.017921147,0.642857143,0.357142857,0.357279141,0.1,0.8,-0.263333333,-0.1,-0.8,0.454545455,0.136363636
81,2.63905733,3.496507561,1,0.666666667,0.666666667,5.129898715,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0
82,1.791759469,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0
83,2.302585093,5.762051383,0.540880503,0.493710692,0.374213836,7.180069874,0.478108466,0.096800595,0.031446541,0.022012579,0.588235294,0.411764706,0.413571429,0.1,0.7,-0.258928571,-0.125,-0.8,0.716666667,-0.020833333
84,2.302585093,7.566828479,0.366270047,0.570098293,0.318675634,9.209840247,0.383338214,0.042814887,0.028970512,0.019658562,0.595744681,0.404255319,0.306340832,0.05,0.6,-0.248151629,-0.05,-0.9,0.454545455,0.136363636
85,2.833213344,5.416100402,0.591111111,0.617777778,0.457777778,6.961296046,0.298160173,0.081709957,0.022222222,0.008888889,0.714285714,0.285714286,0.364761905,0.033333333,0.5,-0.4625,-0.125,-0.8,0.414772727,0.005681818
86,0.693147181,3.496507561,0.909090909,0.545454545,0.515151515,5.099866428,0.55,0.5,0.03030303,0,1,0,1,1,1,0,0,0,0,0
87,2.708050201,7.136483209,0.448687351,0.555290374,0.37788385,8.641885635,0.441097724,0.061382652,0.025457438,0.018297534,0.581818182,0.418181818,0.438372565,0.1,0.8,-0.438888889,-0.05,-1,0.454545455,0.136363636
88,2.995732274,5.683579767,0.605442177,0.642857143,0.452380952,7.231287004,0.542582418,0.083470696,0.023809524,0.017006803,0.583333333,0.416666667,0.292517007,0.05,0.8,-0.13,-0.1,-0.25,0,0
89,2.397895273,6.628041376,0.521164021,0.608465608,0.44047619,8.212839585,0.45381282,0.079370869,0.047619048,0.026455026,0.642857143,0.357142857,0.332133838,0.05,0.8,-0.283888889,-0.05,-0.6,0.277272727,0.218181818
90,2.890371758,7.042286172,0.405594406,0.473776224,0.325174825,8.425516403,0.538418345,0.145249075,0.039335664,0.027097902,0.592105263,0.407894737,0.515084175,0.1,1,-0.322286226,-0.071428571,-1,0.427272727,-0.056818182
91,2.833213344,6.381816017,0.507614213,0.52284264,0.392554992,7.862497197,0.485827664,0.111621315,0.035532995,0.013536379,0.724137931,0.275862069,0.320068027,0.1,1,-0.282291667,-0.1,-1,0.133333333,0.1
92,2.63905733,7.140453043,0.399366086,0.556259905,0.338351823,8.741136423,0.408063233,0.113361176,0.023771791,0.011885895,0.666666667,0.333333333,0.426090909,0.1,0.8,-0.238703704,-0.05,-0.8,0.454545455,0.136363636
93,3.135494216,6.831953566,0.525350593,0.554476807,0.435814455,8.420902531,0.473215959,0.05798467,0.043149946,0.030204962,0.588235294,0.411764706,0.373782468,0.033333333,0.8,-0.322385204,-0.05,-1,0,-0.2
94,1.945910149,5.147494477,0.61627907,0.697674419,0.51744186,6.785587645,0.308333333,0.099675325,0.040697674,0.005813953,0.875,0.125,0.220779221,0.136363636,0.5,-0.15,-0.15,-0.15,0,0
95,2.397895273,6.74051936,0.414893617,0.567375887,0.3321513,8.311398278,0.4515,0.034402778,0.024822695,0.021276596,0.538461538,0.461538462,0.36952381,0.1,0.5,-0.263657407,-0.1,-0.6,0.25,0.25
97,2.564949357,5.66296048,0.503472222,0.569444444,0.371527778,7.245655068,0.508809524,0.180450216,0.045138889,0.006944444,0.866666667,0.133333333,0.398301698,0.1,0.6,-0.333333333,-0.166666667,-0.5,0.5,0.5
98,2.564949357,7.258412151,0.397183099,0.53943662,0.336619718,8.822764297,0.405480791,0.036185875,0.016197183,0.014788732,0.522727273,0.477272727,0.372826087,0.1,0.5,-0.297373394,-0.05,-0.714285714,0.327272727,0.118181818
99,2.944438979,7.17472431,0.397396631,0.578866769,0.339203675,8.774931387,0.420657336,0.083138948,0.029862175,0.020673813,0.590909091,0.409090909,0.388924964,0.05,1,-0.244620811,-0.05,-0.5,0.454545455,0.136363636
100,2.564949357,3.258096538,0.923076923,0.576923077,0.576923077,4.8978398,0.3,0.2,0.038461538,0,1,0,0.2,0.2,0.2,0,0,0,0.2,0.2
101,2.48490665,6.918695219,0.478733927,0.575667656,0.396636993,8.417814747,0.455868265,0.144887463,0.043521266,0.019782394,0.6875,0.3125,0.376033058,0.1,0.85,-0.215734127,-0.071428571,-0.6,0.227272727,0.068181818
102,2.708050201,6.726233402,0.440047962,0.60911271,0.371702638,8.296297113,0.434722222,0.053993056,0.020383693,0.017985612,0.53125,0.46875,0.334803922,0.05,0.8,-0.206666667,-0.1,-0.6,0.454545455,0.136363636
103,2.48490665,6.413458957,0.483606557,0.496721311,0.354098361,7.855544678,0.575558111,0.078730535,0.042622951,0.024590164,0.634146341,0.365853659,0.417064186,0.0625,1,-0.485529101,-0.05,-1,0.928571429,0.142857143
104,2.197224577,5.918893854,0.537634409,0.548387097,0.400537634,7.503289631,0.32689778,0.050266723,0.021505376,0.016129032,0.571428571,0.428571429,0.287045455,0.05,0.8,-0.185515873,-0.071428571,-0.4,0,0
105,2.564949357,6.077642243,0.582568807,0.660550459,0.479357798,7.716015267,0.312070591,0.005235826,0.027522936,0.013761468,0.666666667,0.333333333,0.242171717,0.033333333,0.5,-0.478009259,-0.155555556,-1,1,1
106,2.833213344,6.338594078,0.457597173,0.604240283,0.371024735,7.977968093,0.306078431,0.0275,0.014134276,0.010600707,0.571428571,0.428571429,0.3825,0.05,1,-0.270833333,-0.1,-0.7,0,0
108,2.48490665,6.00635316,0.527093596,0.571428571,0.384236453,7.550135342,0.362411149,0.061017583,0.019704433,0.017241379,0.533333333,0.466666667,0.419128788,0.136363636,0.6,-0.243650794,-0.125,-0.5,0.1,0
109,2.63905733,6.520621128,0.531664212,0.564064801,0.41826215,8.05610966,0.46368978,0.04502462,0.036818851,0.030927835,0.543478261,0.456521739,0.352545022,0.0625,1,-0.276058201,-0.125,-0.7,0.339930556,-0.063888889
110,2.944438979,7.391415235,0.348951911,0.488902589,0.285450062,8.820404065,0.433390114,0.200496864,0.046239211,0.013563502,0.773195876,0.226804124,0.397183983,0.033333333,1,-0.181024531,-0.008333333,-0.65,0.184848485,0.045454545
111,2.63905733,5.575949103,0.564393939,0.541666667,0.382575758,7.112327445,0.399583333,0.14625,0.022727273,0.007575758,0.75,0.25,0.396666667,0.16,0.9,-0.3125,-0.125,-0.5,0,0
112,2.890371758,5.153291594,0.624277457,0.630057803,0.433526012,6.74051936,0.37994228,-0.123308983,0.023121387,0.028901734,0.444444444,0.555555556,0.239448052,0.136363636,0.285714286,-0.5,-0.4,-0.6,0.5,-0.5
113,2.833213344,7.011213987,0.466185753,0.586113616,0.395852119,8.555066844,0.408805506,0.117488891,0.035166817,0.013525699,0.722222222,0.277777778,0.346779332,0.033333333,0.8,-0.188981481,-0.05,-0.8,0.454545455,0.136363636
114,2.833213344,7.265429723,0.387412587,0.595804196,0.337062937,8.858937222,0.437863072,0.088155244,0.030769231,0.016083916,0.656716418,0.343283582,0.362394235,0.05,0.8,-0.275,-0.05,-0.75,0.5,0.5
115,2.708050201,6.035481433,0.61722488,0.636363636,0.488038278,7.585788822,0.408797619,0.043970238,0.040669856,0.023923445,0.62962963,0.37037037,0.284901961,0.0625,0.6,-0.308452381,-0.071428571,-0.8,0.25,0.125
116,2.772588722,6.765038977,0.434832757,0.520184544,0.349480969,8.213110698,0.554488837,0.025105469,0.028835063,0.028835063,0.5,0.5,0.434906926,0.0625,1,-0.328603175,-0.1,-0.7,0.538636364,0.384090909
117,2.63905733,6.918695219,0.449060336,0.539070227,0.366963403,8.41249912,0.434392443,0.093851263,0.021760633,0.014836795,0.594594595,0.405405405,0.372188607,0.0625,0.6,-0.188831909,-0.05,-0.5,0.454545455,0.136363636
118,2.564949357,6.897704943,0.492929293,0.545454545,0.417171717,8.416267273,0.457693532,0.061147186,0.028282828,0.018181818,0.608695652,0.391304348,0.34269094,0.1,0.6,-0.303968254,-0.071428571,-0.8,0.454545455,0.136363636
119,2.772588722,7.295735073,0.413161465,0.556309362,0.355495251,8.856376037,0.365217745,0.100629833,0.037991859,0.012890095,0.746666667,0.253333333,0.30835034,0.033333333,1,-0.242136591,-0.071428571,-0.875,0.434848485,-0.029545455
121,2.708050201,6.726233402,0.443645084,0.522781775,0.345323741,8.258163362,0.502141489,0.146250684,0.035971223,0.009592326,0.789473684,0.210526316,0.344603175,0.1,0.5,-0.225694444,-0.1,-0.5,0,0
122,2.833213344,6.751101469,0.533333333,0.561403509,0.447953216,8.287276756,0.431924812,0.077156072,0.060818713,0.028070175,0.684210526,0.315789474,0.30455711,0.033333333,0.7,-0.221875,-0.05,-0.5,0.496753247,0.007359307
123,2.63905733,7.094234846,0.396680498,0.560995851,0.333609959,8.661985936,0.255570175,0.044539474,0.017427386,0.014107884,0.552631579,0.447368421,0.281428571,0.1,0.5,-0.125,-0.05,-0.333333333,0.454545455,0.136363636
125,2.833213344,4.394449155,0.802469136,0.49382716,0.469135802,5.908082938,0.399461279,-0.01986532,0.037037037,0.024691358,0.6,0.4,0.278787879,0.136363636,0.5,-0.377777778,-0.155555556,-0.6,0.288888889,-0.155555556
126,2.564949357,8.063062911,0.277795276,0.494173228,0.242204724,9.592673316,0.38414971,0.072956437,0.02992126,0.016377953,0.646258503,0.353741497,0.350758145,0.033333333,1,-0.304880189,-0.05,-1,0.2,0.3
127,2.708050201,7.342779189,0.417475728,0.539158576,0.354692557,8.848509301,0.455169715,0.086483919,0.03171521,0.016828479,0.653333333,0.346666667,0.359563345,0.0625,1,-0.282264957,-0.008333333,-1,0.454545455,0.136363636
128,2.564949357,6.556778356,0.441761364,0.561079545,0.353693182,8.164510269,0.368248815,0.027793239,0.018465909,0.019886364,0.481481481,0.518518519,0.351332001,0.1,0.5,-0.242857143,-0.05,-0.6,0.468181818,0.162121212
129,2.63905733,6.285998095,0.482309125,0.618249534,0.379888268,7.824845691,0.364958634,0.063129389,0.04283054,0.018621974,0.696969697,0.303030303,0.289600979,0.05,0.8,-0.325,-0.05,-1,0,0
130,2.63905733,4.852030264,0.7109375,0.5,0.4375,6.308098442,0.35952381,0.136607143,0.03125,0.015625,0.666666667,0.333333333,0.5,0.2,0.8,-0.39375,-0.1875,-0.6,0,0
131,2.302585093,4.94875989,0.673758865,0.546099291,0.432624113,6.519147288,0.578571429,0.347619048,0.070921986,0.007092199,0.909090909,0.090909091,0.511428571,0.2,0.85,-0.25,-0.25,-0.25,1,0.85
132,2.833213344,7.492203043,0.385730212,0.549052397,0.329988852,8.992433087,0.451194508,0.138404104,0.056298774,0.022296544,0.716312057,0.283687943,0.326647486,0.033333333,1,-0.18906746,-0.033333333,-0.7,0.454545455,0.136363636
133,2.833213344,7.022868086,0.431372549,0.593582888,0.360071301,8.573951525,0.446494308,0.100338437,0.033868093,0.008912656,0.791666667,0.208333333,0.307018398,0.033333333,0.733333333,-0.280595238,-0.05,-0.714285714,0.454545455,0.136363636
136,2.564949357,5.710427017,0.586092715,0.57615894,0.440397351,7.23417718,0.364732143,-0.091071429,0.009933775,0.023178808,0.3,0.7,0.21031746,0.166666667,0.25,-0.29829932,-0.071428571,-0.6,0,0
137,2.63905733,6.879355804,0.406378601,0.513374486,0.336419753,8.434897949,0.378014744,0.130312943,0.03909465,0.007201646,0.844444444,0.155555556,0.308240488,0.033333333,1,-0.289285714,-0.05,-0.5,0,0
139,2.772588722,6.177944114,0.543568465,0.560165975,0.43153527,7.696212639,0.367037037,0.090648148,0.031120332,0.018672199,0.625,0.375,0.462222222,0.1,1,-0.31712963,-0.166666667,-0.6,0.377272727,0.568181818
